query,reference_label,reference_intent,actual_route,actual_output,run_id,project_name,is_deterministic_correct,is_llm_correct,final_score
"What satellites or debris were close to PROGRESS-M 55 on February 03, 2026?",sufficient,proximity_search,sufficient,"I am unable to retrieve the necessary TLE data for PROGRESS-M 55 on February 03, 2026, as there is no available data for that date. Please check back later or consult other satellite tracking resources for the required information.",019ca20b-35f3-7683-8a74-b193ee048506,OrCO-GPT-Cloud-Eval-eb3eced8,True,True,True
I need to calculate a collision risk for STARLINK-34823 next week.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to specify the exact date for ""next week"" to complete your query.",019ca20b-32ab-7c33-ba20-b4b4711de3b1,OrCO-GPT-Cloud-Eval-eb3eced8,True,True,True
"Would you mind helping me excerpt the TLE parameters for INDEX from February 17, 2026.",sufficient,tle_extraction,sufficient,"I am unable to retrieve the TLE parameters for INDEX from February 17, 2026, as there is no available data for that date. Please check back later or consult other satellite tracking resources for the required information.",019ca20b-1a73-7300-9d25-c4227affc01d,OrCO-GPT-Cloud-Eval-eb3eced8,True,True,True
"Find all possible colliding space objects near SMM DEB on February 12, 2026.",sufficient,proximity_search,sufficient,"I am unable to retrieve the necessary TLE data to find all possible colliding space objects near SMM DEB on February 12, 2026, due to a backend error. Please try again later or check the satellite tracking databases for the latest TLE information.",019ca20a-e993-7d90-b71d-241133e1c315,OrCO-GPT-Cloud-Eval-eb3eced8,True,True,True
"For 62097, count on the collision probability recorded on February 26, 2026.",sufficient,conjunction_assessment,unknown,,019ca202-de65-7252-88d6-4c1eedf26a7d,OrCO-GPT-Cloud-Eval-a2c09edf,False,False,False
Tell me about the history of 48185.,out_of_scope,entity_information_request,out_of_scope,"Satellite 48185 is known as ""Tiangong,"" which is part of China's space station program. Launched by the China National Space Administration (CNSA), Tiangong is a space laboratory designed for various scientific experiments and technology demonstrations in microgravity.

### Key Points in its History:

- **Launch Date:** Tiangong was launched on September 29, 2011. It was the first of three space laboratories planned by China as part of its goal to establish a modular space station by the 2020s.

- **Purpose:** The primary purpose of Tiangong was to test technologies for space rendezvous and docking, as well as to conduct scientific experiments in areas such as biology, materials science, and astronomy.

- **Manned Missions:** Tiangong hosted several manned missions, with astronauts (taikonauts) living and working aboard the module. The first crewed mission, Shenzhou 9, docked with Tiangong on June 18, 2012.

- **Decommissioning:** Tiangong was decommissioned in 2016 after completing its mission objectives. The satellite re-entered the Earth's atmosphere in April 2016.

If you need more specific details or updates regarding Tiangong or related missions, feel free to ask!

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*",019ca202-c699-77c1-9f13-cdb7676401a2,OrCO-GPT-Cloud-Eval-a2c09edf,True,True,True
Is it possible to calculate a collision risk for ABS 6 (LMI 1) next month.,insufficient,invalid_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to provide a specific date or epoch for ""next month"" to clarify the temporal constraint.",019ca202-c2bf-7310-ae43-27cd75062273,OrCO-GPT-Cloud-Eval-a2c09edf,True,True,True
Is 40435 still in service?,out_of_scope,entity_information_request,out_of_scope,"Satellite 40435 is known as ""Tiangong 2,"" which is a Chinese space laboratory. Tiangong 2 was launched by the China National Space Administration (CNSA) on September 15, 2016. It was primarily used for tests of space docking technology and conducting experiments in a microgravity environment.

As of my last update, Tiangong 2 was deorbited in July 2019 after completing its mission. Therefore, it is no longer in service. If you require the latest status or details about other ongoing missions, please consult a reliable satellite tracking resource or space agency updates.

If you need further assistance, feel free to ask! 

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*",019ca202-af55-7c82-ad3a-4e3f47affa7f,OrCO-GPT-Cloud-Eval-a2c09edf,True,True,True
I'm trying to fetch the TLE for 19525.,insufficient,missing_temporal_constraint,insufficient,"🔍 **Missing Information Identified**

You need to add a specific date or epoch for when you want to fetch the TLE.",019ca202-ab61-74f1-aae1-ad2370b0d685,OrCO-GPT-Cloud-Eval-a2c09edf,True,True,True
Who launched 10963?,out_of_scope,entity_information_request,out_of_scope,"Satellite 10963 is known as ""GSAT-4,"" which was launched by the Indian Space Research Organisation (ISRO) on December 8, 2007. GSAT-4 was intended for providing services in the Indian communication satellite system.

If you need more information about this satellite or its mission, feel free to ask!

---
💡 *Note: This response was generated entirely by the LLM. No OrCo-GPT specialized SSA tools were used for this query.*",019ca202-9e20-79b1-8758-73f377c57231,OrCO-GPT-Cloud-Eval-a2c09edf,True,True,True
